n,wr,total_pips,pf,avg,cfg,pair,spread,bars,date_range
13,30.76923076923077,-717.1795827214212,0.6004841558829465,-55.16766020934009,"supertrend (7,2.0,14,1.5,2.5)",GBPUSD,3.0,5858,2003-12-01 → 2026-06-12
40,30.0,-1160.9556150664143,0.7449588797860002,-29.023890376660358,"ema_macd (5,13,50,1.5,2.5)",EURUSD,1.5,5846,2003-12-01 → 2026-06-12
80,30.0,-2278.3526730423714,0.6918385541064297,-28.479408413029642,"ichimoku (9,26,52)",AUDUSD,1.9,5223,2006-05-16 → 2026-06-13
18,27.77777777777778,-2162.4516336335464,0.3987097019411708,-120.13620186853035,"supertrend (10,2.0,14,1.5,2.5)",EURUSD,1.5,5846,2003-12-01 → 2026-06-12
18,27.77777777777778,-3443.0119125454507,0.3998849091422261,-191.27843958585837,"supertrend (10,2.0,14,2.5,4.0)",EURUSD,1.5,5846,2003-12-01 → 2026-06-12
56,26.785714285714285,-1487.7491906507041,0.7362029204188876,-26.566949833048287,"ema_macd (5,13,50,1.0,2.0)",GBPUSD,3.0,5858,2003-12-01 → 2026-06-12
58,25.862068965517242,-3582.0139184857867,0.5160500841386928,-61.75886066354805,"ema_macd (3,10,50,1.5,2.5)",EURUSD,1.5,5846,2003-12-01 → 2026-06-12
21,23.809523809523807,-2814.8860717292428,0.30005274120101844,-134.0421938918687,"supertrend (7,2.0,14,1.5,2.5)",EURUSD,1.5,5846,2003-12-01 → 2026-06-12
38,23.684210526315788,-2576.1837963225885,0.575904210130786,-67.7943104295418,"ema_macd (5,13,50,2.0,3.0)",EURUSD,1.5,5846,2003-12-01 → 2026-06-12
10,20.0,-1492.3696493424998,0.2272337286493838,-149.23696493424998,super_adx20,EURUSD,1.5,5846,2003-12-01 → 2026-06-12
15,20.0,-2391.635697091543,0.24637082844144553,-159.44237980610288,super_adx15,EURUSD,1.5,5846,2003-12-01 → 2026-06-12
