n,wr,total_pips,pf,avg,tf,pair,strat,spread_pts,bars,date_range
179,11.1731843575419,-1489.8826732780378,0.27683284520115903,-8.32336688982144,M30,EURUSD,smc_fvg,9,5000,2026-01-19 → 2026-06-12
184,4.891304347826087,-1534.0825862027718,0.13847498742413616,-8.337405359797673,M15,GBPUSD,smc_fvg,10,5000,2026-04-01 → 2026-06-12
198,1.5151515151515151,-1560.7938471970417,0.038499908478944654,-7.882797208065867,M15,EURUSD,keltner_macd,9,5000,2026-04-01 → 2026-06-12
168,11.904761904761903,-1565.001288670755,0.25405916424457087,-9.315483861135446,M30,AUDUSD,keltner_macd,9,5000,2026-01-19 → 2026-06-12
222,0.45045045045045046,-1584.8884472985033,0.016763796509522855,-7.139137149993258,M15,USDCHF,smc_fvg,12,5000,2026-04-01 → 2026-06-12
223,0.0,-1595.950352072195,0.0,-7.156728036198184,M15,USDCHF,keltner_macd,12,5000,2026-04-01 → 2026-06-12
204,2.941176470588235,-1727.3632003684202,0.09896956312561257,-8.467466668472648,M15,USDJPY,smc_fvg,13,5000,2026-04-01 → 2026-06-12
167,14.37125748502994,-1818.4820548838786,0.307693776257357,-10.88911410110107,M30,GBPUSD,smc_fvg,10,5000,2026-01-19 → 2026-06-12
194,9.278350515463918,-1823.532509892534,0.22526983528192646,-9.399652112848115,M30,EURUSD,keltner_macd,9,5000,2026-01-19 → 2026-06-12
216,5.555555555555555,-1976.725852699371,0.1153076243858621,-9.151508577311903,M15,GBPUSD,keltner_macd,10,5000,2026-04-01 → 2026-06-12
77,32.467532467532465,-1980.261371803678,0.7635265054406933,-25.71768015329452,D1,GBPUSD,smc_fvg,8,2284,2017-06-12 → 2026-06-12
180,14.444444444444443,-2007.9494089238199,0.29624583052994746,-11.15527449402122,M30,GBPUSD,keltner_macd,10,5000,2026-01-19 → 2026-06-12
195,0.0,-2077.5837401342746,0.0,-10.654275590432178,M15,USDJPY,keltner_macd,13,5000,2026-04-01 → 2026-06-12
186,4.301075268817205,-2144.2806398026896,0.10325220122804418,-11.5283905365736,M30,AUDUSD,smc_fvg,9,5000,2026-01-19 → 2026-06-12
209,2.3923444976076556,-2222.115278805935,0.05023838370963046,-10.632130520602558,M30,USDCHF,keltner_macd,12,5000,2026-01-19 → 2026-06-12
178,7.865168539325842,-2373.4597572465264,0.1965257663694524,-13.334043580036665,M30,USDJPY,smc_fvg,13,5000,2026-01-19 → 2026-06-12
222,0.45045045045045046,-2523.370001358398,0.009432689937579009,-11.366531537650442,M30,USDCHF,smc_fvg,12,5000,2026-01-19 → 2026-06-12
187,7.4866310160427805,-2761.5429913018165,0.18563826591533633,-14.767609579154099,M30,USDJPY,keltner_macd,13,5000,2026-01-19 → 2026-06-12
117,29.914529914529915,-3870.4499867774107,0.6364411589418681,-33.08076911775564,D1,EURUSD,smc_fvg,0,3730,2011-12-07 → 2026-06-12
41,43.90243902439025,-6209.337816800235,0.9310843633415564,-151.44726382439598,M30,XAUUSD,supertrend,28,5000,2026-01-09 → 2026-06-12
129,37.2093023255814,-7548.3047351126515,0.9415144602165605,-58.51399019467172,M15,XAUUSD,smc_fvg,28,5000,2026-03-27 → 2026-06-12
43,25.581395348837212,-12615.3949095803,0.7126532616749693,-293.3812769669837,M15,XAUUSD,ema_macd,28,5000,2026-03-27 → 2026-06-12
75,32.0,-14104.541232506335,0.8175671010369538,-188.06054976675114,M15,XAUUSD,heiken_ema,28,5000,2026-03-27 → 2026-06-12
135,34.074074074074076,-22202.047036413842,0.8427887119325387,-164.45960767713956,M15,XAUUSD,keltner_macd,28,5000,2026-03-27 → 2026-06-12
39,28.205128205128204,-26883.374451856525,0.6220456852058652,-689.3172936373468,M30,XAUUSD,ema_macd,28,5000,2026-01-09 → 2026-06-12
